,docIdx,wordIdx,count,words
395,4,10,1,atheist
396,4,12,20,of
397,4,16,1,from
398,4,17,10,religion
399,4,23,25,and
400,4,25,1,other
401,4,27,3,are
402,4,29,40,the
403,4,30,16,in
404,4,33,19,to
405,4,42,12,it
406,4,44,3,like
407,4,46,1,christians
408,4,48,2,on
409,4,51,6,but
410,4,52,7,with
411,4,54,2,word
412,4,60,22,is
413,4,67,5,people
414,4,72,3,can
415,4,73,1,get
416,4,81,4,for
417,4,83,6,who
418,4,84,4,go
419,4,85,1,directly
420,4,95,1,bible
421,4,99,2,so
422,4,100,3,one
423,4,101,1,such
424,4,104,3,by
425,4,122,4,or
426,4,139,1,an
427,4,142,4,which
428,4,143,1,may
429,4,144,13,be
430,4,152,1,humanism
431,4,156,3,secular
432,4,160,2,they
433,4,181,1,humanist
434,4,233,12,that
435,4,234,1,exists
436,4,235,4,all
437,4,239,3,any
438,4,245,1,well
439,4,251,6,this
440,4,277,1,example
441,4,279,1,anyone
442,4,282,1,use
443,4,289,2,many
444,4,291,2,thought
445,4,295,1,his
446,4,297,7,at
447,4,299,1,very
448,4,301,4,he
449,4,306,1,rather
450,4,307,1,than
451,4,309,2,although
452,4,310,1,often
453,4,312,1,had
454,4,314,4,some
455,4,316,2,god
456,4,340,1,when
457,4,343,9,faith
458,4,364,3,christianity
459,4,388,6,as
460,4,393,6,system
461,4,394,1,unfortunately
462,4,400,1,whose
463,4,410,1,premise
464,4,416,1,take
465,4,420,2,again
466,4,425,1,under
467,4,426,9,christian
468,4,438,2,only
469,4,449,1,world
470,4,451,1,down
471,4,458,1,more
472,4,465,1,work
473,4,466,3,has
474,4,469,1,however
475,4,470,2,probably
476,4,473,5,if
477,4,474,4,you
478,4,477,4,what
479,4,479,3,different
480,4,482,1,sure
481,4,489,1,christ
482,4,491,1,seems
483,4,492,2,even
484,4,515,1,university
485,4,529,1,belief
486,4,531,2,also
487,4,536,1,most
488,4,550,1,case
489,4,551,2,against
490,4,555,1,best
491,4,563,3,without
492,4,574,2,way
493,4,575,1,whether
494,4,588,1,emphasis
495,4,604,1,dictionary
496,4,612,1,present
497,4,613,4,person
498,4,614,1,philosophy
499,4,621,1,expressed
500,4,623,1,over
501,4,630,2,think
502,4,644,1,was
503,4,646,2,reason
504,4,657,1,western
505,4,658,1,values
506,4,663,2,were
507,4,683,1,through
508,4,692,1,those
509,4,695,2,beyond
510,4,722,9,not
511,4,731,1,rationalism
512,4,742,1,mind
513,4,746,1,become
514,4,748,1,them
515,4,749,6,there
516,4,766,3,will
517,4,770,1,article
518,4,775,4,edu
519,4,778,1,writes
520,4,779,2,science
521,4,793,4,humans
522,4,813,5,we
523,4,824,3,things
524,4,825,2,put
525,4,827,1,interesting
526,4,828,3,just
527,4,832,1,light
528,4,834,1,much
529,4,838,1,something
530,4,845,2,simply
531,4,847,1,understanding
532,4,849,2,ok
533,4,850,1,me
534,4,863,3,don
535,4,864,1,anyway
536,4,870,3,cs
537,4,877,2,do
538,4,886,2,no
539,4,887,1,didn
540,4,902,4,good
541,4,905,1,here
542,4,910,2,admit
543,4,912,2,up
544,4,914,1,definition
545,4,920,1,yes
546,4,921,1,now
547,4,922,6,have
548,4,930,2,out
549,4,939,1,within
550,4,942,2,should
551,4,947,3,define
552,4,965,1,fail
553,4,968,2,claimed
554,4,969,1,your
555,4,970,1,claim
556,4,977,1,every
557,4,982,1,implementation
558,4,985,1,seem
559,4,987,1,difference
560,4,988,1,between
561,4,992,2,still
562,4,993,1,say
563,4,995,1,my
564,4,996,2,personal
565,4,1003,5,would
566,4,1010,2,reasoning
567,4,1017,1,same
568,4,1018,6,because
569,4,1034,1,becomes
570,4,1038,2,point
571,4,1040,1,least
572,4,1044,1,notion
573,4,1065,3,someone
574,4,1071,2,course
575,4,1077,1,too
576,4,1101,1,might
577,4,1102,1,interpretation
578,4,1103,1,wouldn
579,4,1123,1,later
580,4,1124,1,going
581,4,1128,1,result
582,4,1130,1,yet
583,4,1134,1,kill
584,4,1137,1,everyone
585,4,1138,1,cause
586,4,1145,2,gun
587,4,1157,3,always
588,4,1160,2,basically
589,4,1196,3,doesn
590,4,1206,1,fair
591,4,1211,1,perhaps
592,4,1236,1,kills
593,4,1245,3,really
594,4,1260,3,prison
595,4,1266,1,irrelevant
596,4,1268,1,due
597,4,1270,1,concern
598,4,1282,1,inability
599,4,1283,1,totally
600,4,1305,1,similarly
601,4,1325,1,causes
602,4,1330,1,fun
603,4,1347,1,presumably
604,4,1365,1,free
605,4,1425,3,thinking
606,4,1452,3,cannot
607,4,1463,1,important
608,4,1472,1,realize
609,4,1485,1,responsibility
610,4,1487,1,maybe
611,4,1491,1,willing
612,4,1507,1,start
613,4,1508,1,ask
614,4,1552,1,bad
615,4,1557,1,problem
616,4,1571,1,let
617,4,1580,1,past
618,4,1608,1,real
619,4,1635,1,open
620,4,1646,4,themselves
621,4,1649,1,merely
622,4,1676,1,consider
623,4,1678,1,basic
624,4,1690,1,nature
625,4,1735,1,come
626,4,1784,1,condemn
627,4,1810,1,harm
628,4,1855,1,language
629,4,1861,1,room
630,4,1863,1,need
631,4,1870,1,whatever
632,4,1894,1,please
633,4,1898,1,universe
634,4,1906,2,change
635,4,1910,1,further
636,4,1924,1,jesus
637,4,2030,1,level
638,4,2038,1,happened
639,4,2045,1,apr
640,4,2095,1,event
641,4,2111,1,experience
642,4,2113,2,individual
643,4,2182,1,religions
644,4,2220,1,believes
645,4,2232,4,beliefs
646,4,2254,1,whereas
647,4,2444,2,unless
648,4,2465,1,words
649,4,2534,1,leave
650,4,2585,1,neat
651,4,2608,1,webster
652,4,2633,1,bias
653,4,2717,1,himself
654,4,2791,3,moment
655,4,2807,1,test
656,4,2829,2,game
657,4,2906,1,dedicated
658,4,3023,2,mass
659,4,3057,1,careful
660,4,3069,1,minded
661,4,3140,7,dogma
662,4,3153,1,inherently
663,4,3167,1,adequately
664,4,3183,3,philosopher
665,4,3192,1,sets
666,4,3289,1,adam
667,4,3290,1,john
668,4,3291,1,cooper
669,4,3292,1,verily
670,4,3293,1,laughed
671,4,3294,1,weaklings
672,4,3295,1,acooper
673,4,3296,1,macalstr
674,4,3297,1,claws
675,4,3469,4,prisoner
676,4,3471,3,genocide
677,4,3482,1,tradition
