ForecastID,Confirmed,Deaths
0,274937,3985
1,37468,149
2,368883,7059
3,174110,2652
4,1370662,20137
5,267057,3524
6,136126,5261
7,40372,793
8,1072001,19361
9,510532,9933
10,18979,257
11,113322,1098
12,803386,14371
13,388563,6391
14,251117,2825
15,177786,1912
16,205363,2131
17,256852,6660
18,13629,238
19,217285,4916
20,260067,11081
21,445152,10507
22,357751,4093
23,167909,3994
24,333434,4422
25,69504,763
26,142706,1288
27,170144,2366
28,25709,567
29,371668,17495
30,111173,1809
31,713801,35158
32,396985,5623
33,84764,1038
34,483982,7172
35,217673,1943
36,85934,1060
37,431249,11515
38,66368,1449
39,232642,4591
40,87914,1145
41,407770,5060
42,1347967,23476
43,219420,962
44,5169,81
45,255575,4239
46,180907,3041
47,55537,838
48,449929,4061
49,37730,288
50,278202,4033
51,38141,152
52,374006,7109
53,176290,2671
54,1389492,20251
55,271679,3580
56,138725,5291
57,41012,796
58,1081421,19456
59,515408,9990
60,19078,258
61,114860,1118
62,813363,14547
63,395302,6472
64,253907,2878
65,180252,1959
66,208819,2160
67,259729,6687
68,13881,242
69,219792,4950
70,264512,11120
71,452983,10620
72,363407,4152
73,169869,4016
74,337221,4486
75,70463,773
76,144606,1319
77,172524,2394
78,26338,572
79,376246,17546
80,113078,1841
81,722578,35210
82,401364,5669
83,85566,1051
84,492545,7263
85,220479,1969
86,87413,1079
87,440097,11661
88,67709,1459
89,234628,4616
90,88944,1172
91,412169,5120
92,1362128,23668
93,222541,973
94,5300,82
95,257941,4258
96,182836,3075
97,56591,849
98,455123,4130
99,38354,294
100,281466,4081
101,38815,155
102,379130,7160
103,178469,2690
104,1408322,20364
105,276301,3637
106,141323,5322
107,41651,798
108,1090840,19551
109,520284,10048
110,19177,260
111,116398,1139
112,823341,14723
113,402040,6553
114,256696,2930
115,182718,2006
116,212276,2189
117,262607,6713
118,14133,246
119,222300,4983
120,268957,11159
121,460814,10734
122,369062,4211
123,171829,4037
124,341008,4550
125,71421,783
126,146506,1351
127,174903,2422
128,26966,577
129,380825,17598
130,114983,1874
131,731355,35263
132,405743,5714
133,86367,1064
134,501108,7355
135,223286,1994
136,88893,1098
137,448944,11806
138,69050,1469
139,236614,4642
140,89974,1198
141,416567,5180
142,1376289,23860
143,225662,984
144,5430,84
145,260307,4278
146,184764,3109
147,57645,861
148,460317,4198
149,38978,301
150,284730,4129
151,39488,158
152,384253,7210
153,180649,2710
154,1427152,20478
155,280924,3693
156,143921,5352
157,42291,801
158,1100260,19646
159,525160,10105
160,19275,261
161,117936,1159
162,833318,14899
163,408778,6634
164,259486,2983
165,185183,2052
166,215732,2218
167,265485,6739
168,14385,251
169,224807,5017
170,273402,11199
171,468645,10847
172,374718,4270
173,173789,4059
174,344795,4614
175,72380,793
176,148405,1383
177,177283,2450
178,27595,581
179,385403,17650
180,116889,1906
181,740132,35315
182,410123,5760
183,87169,1076
184,509672,7446
185,226092,2019
186,90372,1117
187,457791,11952
188,70391,1478
189,238600,4667
190,91004,1225
191,420966,5239
192,1390451,24052
193,228783,995
194,5561,85
195,262673,4297
196,186693,3143
197,58699,872
198,465511,4266
199,39601,308
200,287994,4176
201,40162,161
202,389377,7261
203,182829,2729
204,1445982,20591
205,285546,3749
206,146520,5382
207,42931,803
208,1109680,19741
209,530036,10162
210,19374,263
211,119474,1180
212,843296,15075
213,415516,6715
214,262276,3036
215,187649,2099
216,219188,2247
217,268362,6766
218,14637,255
219,227315,5051
220,277847,11238
221,476476,10960
222,380374,4329
223,175749,4081
224,348582,4678
225,73339,804
226,150305,1415
227,179662,2478
228,28223,586
229,389981,17702
230,118794,1939
231,748909,35367
232,414502,5805
233,87970,1089
234,518235,7537
235,228898,2044
236,91852,1137
237,466639,12097
238,71731,1488
239,240587,4692
240,92033,1252
241,425365,5299
242,1404612,24243
243,231904,1005
244,5692,86
245,265039,4316
246,188621,3177
247,59753,884
248,470706,4334
249,40225,314
250,291259,4224
251,40836,164
252,394500,7311
253,185009,2748
254,1464812,20705
255,290168,3806
256,149118,5413
257,43571,805
258,1119099,19836
259,534912,10220
260,19473,264
261,121011,1200
262,853274,15251
263,422254,6796
264,265066,3088
265,190114,2146
266,222645,2276
267,271240,6792
268,14888,259
269,229822,5085
270,282292,11277
271,484307,11073
272,386029,4387
273,177709,4103
274,352369,4742
275,74298,814
276,152205,1447
277,182042,2506
278,28852,591
279,394560,17753
280,120699,1971
281,757686,35419
282,418881,5850
283,88772,1102
284,526799,7629
285,231705,2069
286,93331,1156
287,475486,12242
288,73072,1498
289,242573,4717
290,93063,1278
291,429764,5359
292,1418773,24435
293,235025,1016
294,5823,88
295,267405,4336
296,190550,3211
297,60807,895
298,475900,4402
299,40849,321
300,294523,4272
301,41509,168
302,399624,7362
303,187189,2767
304,1483643,20818
305,294790,3862
306,151716,5443
307,44211,808
308,1128519,19930
309,539788,10277
310,19571,265
311,122549,1221
312,863251,15426
313,428992,6877
314,267855,3141
315,192580,2192
316,226101,2304
317,274118,6819
318,15140,263
319,232329,5119
320,286737,11316
321,492138,11186
322,391685,4446
323,179670,4124
324,356156,4806
325,75257,824
326,154105,1479
327,184421,2534
328,29480,595
329,399138,17805
330,122605,2004
331,766462,35472
332,423260,5896
333,89573,1115
334,535362,7720
335,234511,2094
336,94810,1175
337,484333,12388
338,74413,1508
339,244559,4742
340,94093,1305
341,434163,5418
342,1432934,24627
343,238146,1027
344,5954,89
345,269771,4355
346,192478,3245
347,61861,907
348,481094,4470
349,41473,328
