ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
0,Alabama,04-12-2020,3563,93,,3470,75.98802021,21583.0,437.0,2.610159978,460.3001516,12.26494527
1,Alaska,04-12-2020,272,8,66.0,264,45.50404936,8038.0,31.0,2.9411764710000003,1344.711576,11.39705882
2,Arizona,04-12-2020,3542,115,,3427,48.66242224,42109.0,,3.246753247,578.5222863,
3,Arkansas,04-12-2020,1280,27,367.0,1253,49.43942261,19722.0,130.0,2.109375,761.7533537,10.15625
4,California,04-12-2020,22795,640,,22155,58.13772584,190328.0,5234.0,2.81202018,485.42386849999997,22.9611757
5,Colorado,04-12-2020,7307,289,,7018,128.943729,34873.0,1376.0,3.955111537,615.3899908,18.8312577
6,Connecticut,04-12-2020,12035,554,,11481,337.56048250000003,41220.0,1654.0,4.6032405480000005,1156.148159,13.74324886
7,Delaware,04-12-2020,1625,35,191.0,1590,166.8782169,11103.0,190.0,2.153846154,1140.214672,11.69230769
8,Florida,04-12-2020,19895,461,,19434,93.70022691,182753.0,2772.0,2.317165117,860.7186513,13.93314903
9,Georgia,04-12-2020,12452,433,,12019,122.80814050000001,54453.0,2505.0,3.4773530360000002,537.0439828,20.11725024
10,Hawaii,04-12-2020,499,9,300.0,490,35.24543964,17968.0,44.0,1.8036072140000001,1269.118355,8.817635271
11,Idaho,04-12-2020,1407,27,,1380,87.36433536,14308.0,131.0,1.918976546,888.4214004,9.310589907999999
12,Illinois,04-12-2020,20852,720,,20132,177.68078180000003,100735.0,3680.0,3.4529061960000003,858.3672336000001,17.64818722
13,Indiana,04-12-2020,7928,343,,7585,121.14925530000001,42489.0,,4.326437941,649.2823801,
14,Iowa,04-12-2020,1587,41,674.0,1546,60.55603952,17592.0,129.0,2.583490863,671.2677046,8.128544423
15,Kansas,04-12-2020,1344,56,,1288,55.11612114,13253.0,298.0,4.166666667,543.4925249,22.17261905
16,Kentucky,04-12-2020,1963,97,464.0,1866,57.34228025,24567.0,459.0,4.941416200000001,717.6402439,23.38257769
17,Louisiana,04-12-2020,20595,840,,19755,447.9836494,104045.0,2084.0,4.078659869,2263.19295,10.11896091
18,Maine,04-12-2020,633,19,266.0,614,53.91795272,6721.0,120.0,3.0015797789999996,572.4842974,18.95734597
19,Maryland,04-12-2020,8225,236,456.0,7989,138.3903145,49764.0,1860.0,2.869300912,837.3076732000001,22.61398176
20,Massachusetts,04-12-2020,25475,756,,24719,371.1516059,116730.0,2235.0,2.9676153089999997,1700.668379,8.773307164
21,Michigan,04-12-2020,24244,1479,433.0,22765,304.2953668,79437.0,3636.0,6.100478469,997.0430232000001,14.99752516
22,Minnesota,04-12-2020,1621,70,842.0,1551,32.77100367,37421.0,361.0,4.318322023,756.5229662,22.27020358
23,Mississippi,04-12-2020,2781,96,,2685,96.05534114,21413.0,548.0,3.451995685,739.6019489,19.70514204
24,Missouri,04-12-2020,4269,118,,4151,72.85659283,45200.0,988.0,2.764113375,771.4026695,23.14359335
25,Montana,04-12-2020,387,6,169.0,381,44.68889256,8913.0,47.0,1.5503875969999998,1029.230231,12.14470284
26,Nebraska,04-12-2020,791,17,,774,51.85960275,10691.0,,2.149178255,700.924163,
27,Nevada,04-12-2020,2836,112,,2724,94.01010443,24611.0,282.0,3.94922426,815.8260508,9.943582511
28,New Hampshire,04-12-2020,929,23,236.0,906,69.94702398,10925.0,146.0,2.475780409,822.5739902,15.71582347
29,New Jersey,04-12-2020,61850,2350,,59500,696.3372772000001,126735.0,7604.0,3.7995149560000003,1426.844055,12.29426031
30,New Mexico,04-12-2020,1245,26,235.0,1219,74.66119111,28692.0,78.0,2.088353414,1720.6256190000001,6.2650602410000005
31,New York,04-12-2020,189033,9385,23887.0,179648,1121.124012,461601.0,42594.0,4.9647416060000005,2737.680538,22.53257368
32,North Carolina,04-12-2020,4570,89,,4481,46.07841902,62139.0,331.0,1.947483589,626.5354222,7.242888402999999
33,North Dakota,04-12-2020,308,7,121.0,301,50.79004911,10350.0,39.0,2.272727273,1706.7435329999998,12.66233766
34,Ohio,04-12-2020,6604,253,,6351,59.10222609,63243.0,1948.0,3.831011508,565.9906245,29.49727438
35,Oklahoma,04-12-2020,1970,96,865.0,1874,53.85995428,22760.0,446.0,4.873096447,622.2601824,22.63959391
36,Oregon,04-12-2020,1527,52,,1475,38.107606700000005,29758.0,359.0,3.4053700069999997,742.6366471,23.51015062
37,Pennsylvania,04-12-2020,22938,557,,22381,182.2284446,124890.0,2097.0,2.428284942,992.175013,9.142035051
38,Rhode Island,04-12-2020,2665,63,35.0,2602,251.56674640000003,20350.0,201.0,2.363977486,1920.969339,7.542213884
39,South Carolina,04-12-2020,3320,82,,3238,65.87334263,31425.0,496.0,2.469879518,623.5149976,14.93975904
40,South Dakota,04-12-2020,730,6,197.0,724,99.19933903,8553.0,43.0,0.8219178079999999,1162.262941,5.890410959
41,Tennessee,04-12-2020,5508,106,1504.0,5402,83.90037425,70677.0,567.0,1.924473493,1076.584377,10.29411765
42,Texas,04-12-2020,13677,283,2014.0,13394,59.50516088,124533.0,1338.0,2.069167215,541.8115230000001,9.782847116000001
43,Utah,04-12-2020,2303,18,,2285,80.3592053,44234.0,195.0,0.781589231,1543.468991,8.467216674
44,Vermont,04-12-2020,727,27,15.0,700,119.06497150000001,9841.0,34.0,3.71389271,1611.7171720000001,4.6767537830000006
45,Virginia,04-12-2020,5274,141,,5133,66.69845192,39985.0,751.0,2.673492605,505.6764505,14.23966629
46,Washington,04-12-2020,10609,506,,10103,140.5276682,93615.0,642.0,4.769535299999999,1240.031828,6.051465737000001
47,West Virginia,04-12-2020,593,6,83.0,587,44.82244115,16257.0,81.0,1.0118043840000002,1228.8000439999998,13.65935919
48,Wisconsin,04-12-2020,3341,144,,3197,64.56573888,39257.0,974.0,4.3100868,758.6522632,29.15294822
49,Wyoming,04-12-2020,270,0,137.0,270,54.29973453,5459.0,40.0,0.0,1097.860188,14.81481481
50,Alabama,04-13-2020,3734,99,,3635.0,79.63493333293523,29182.0,457.0,2.6513122656668453,622.3638523089759,12.23888591322978
51,Alaska,04-13-2020,277,8,85.0,269.0,46.34052085407085,7830.0,32.0,2.888086642599278,1309.9143620482844,11.552346570397113
52,Arizona,04-13-2020,3705,122,,3583.0,50.90182789082197,43347.0,525.0,3.292847503373819,595.5307782951309,14.170040485829961
53,Arkansas,04-13-2020,1410,29,391.0,1381.0,54.46061396810462,20804.0,130.0,2.0567375886524824,803.5451155974812,9.21985815602837
