ForecastID,Province_State,Date,Confirmed,Deaths
0,Alabama,04-12-2020,3667,93
1,Alaska,04-12-2020,272,8
2,Arizona,04-12-2020,3542,115
3,Arkansas,04-12-2020,1280,27
4,California,04-12-2020,22795,640
5,Colorado,04-12-2020,7307,289
6,Connecticut,04-12-2020,12035,554
7,Delaware,04-12-2020,1625,35
8,Florida,04-12-2020,19895,461
9,Georgia,04-12-2020,12452,433
10,Hawaii,04-12-2020,499,9
11,Idaho,04-12-2020,1407,27
12,Illinois,04-12-2020,20852,720
13,Indiana,04-12-2020,7928,343
14,Iowa,04-12-2020,1587,41
15,Kansas,04-12-2020,1344,63
16,Kentucky,04-12-2020,1963,97
17,Louisiana,04-12-2020,20595,840
18,Maine,04-12-2020,633,19
19,Maryland,04-12-2020,8225,236
20,Massachusetts,04-12-2020,25475,756
21,Michigan,04-12-2020,24244,1479
22,Minnesota,04-12-2020,1621,70
23,Mississippi,04-12-2020,2781,96
24,Missouri,04-12-2020,4269,118
25,Montana,04-12-2020,387,6
26,Nebraska,04-12-2020,791,17
27,Nevada,04-12-2020,2836,112
28,New Hampshire,04-12-2020,929,23
29,New Jersey,04-12-2020,61850,2350
30,New Mexico,04-12-2020,1245,26
31,New York,04-12-2020,189033,9385
32,North Carolina,04-12-2020,4570,89
33,North Dakota,04-12-2020,308,7
34,Ohio,04-12-2020,6604,253
35,Oklahoma,04-12-2020,1970,96
36,Oregon,04-12-2020,1527,52
37,Pennsylvania,04-12-2020,22938,557
38,Rhode Island,04-12-2020,2665,63
39,South Carolina,04-12-2020,3320,82
40,South Dakota,04-12-2020,730,6
41,Tennessee,04-12-2020,5508,106
42,Texas,04-12-2020,13691,285
43,Utah,04-12-2020,2303,18
44,Vermont,04-12-2020,727,27
45,Virginia,04-12-2020,5274,141
46,Washington,04-12-2020,10609,506
47,West Virginia,04-12-2020,593,6
48,Wisconsin,04-12-2020,3341,144
49,Wyoming,04-12-2020,270,0
50,Alabama,04-13-2020,3870,99
51,Alaska,04-13-2020,277,8
52,Arizona,04-13-2020,3705,122
53,Arkansas,04-13-2020,1410,29
54,California,04-13-2020,23931,714
55,Colorado,04-13-2020,7691,306
56,Connecticut,04-13-2020,13381,602
57,Delaware,04-13-2020,1758,41
58,Florida,04-13-2020,21019,499
59,Georgia,04-13-2020,13315,465
60,Hawaii,04-13-2020,504,9
61,Idaho,04-13-2020,1426,27
62,Illinois,04-13-2020,22025,798
63,Indiana,04-13-2020,8359,350
64,Iowa,04-13-2020,1710,41
65,Kansas,04-13-2020,1390,61
66,Kentucky,04-13-2020,2018,113
67,Louisiana,04-13-2020,21016,884
68,Maine,04-13-2020,698,19
69,Maryland,04-13-2020,8936,262
70,Massachusetts,04-13-2020,26867,844
71,Michigan,04-13-2020,25635,1602
72,Minnesota,04-13-2020,1621,70
73,Mississippi,04-13-2020,2942,98
74,Missouri,04-13-2020,4515,123
75,Montana,04-13-2020,394,7
76,Nebraska,04-13-2020,814,17
77,Nevada,04-13-2020,2990,114
78,New Hampshire,04-13-2020,985,23
79,New Jersey,04-13-2020,64584,2443
80,New Mexico,04-13-2020,1262,26
81,New York,04-13-2020,195749,10058
82,North Carolina,04-13-2020,4886,94
83,North Dakota,04-13-2020,331,8
84,Ohio,04-13-2020,6975,274
85,Oklahoma,04-13-2020,2069,99
86,Oregon,04-13-2020,1584,53
87,Pennsylvania,04-13-2020,24292,589
88,Rhode Island,04-13-2020,2665,63
89,South Carolina,04-13-2020,3391,82
90,South Dakota,04-13-2020,868,6
91,Tennessee,04-13-2020,5610,109
92,Texas,04-13-2020,14275,305
93,Utah,04-13-2020,2363,13
94,Vermont,04-13-2020,748,28
95,Virginia,04-13-2020,5747,149
96,Washington,04-13-2020,10635,513
97,West Virginia,04-13-2020,611,8
98,Wisconsin,04-13-2020,3428,154
99,Wyoming,04-13-2020,275,1
100,Alabama,04-14-2020,4041,114
101,Alaska,04-14-2020,285,9
102,Arizona,04-14-2020,3809,131
103,Arkansas,04-14-2020,1498,32
104,California,04-14-2020,25356,767
105,Colorado,04-14-2020,7950,327
106,Connecticut,04-14-2020,13989,671
107,Delaware,04-14-2020,1926,43
108,Florida,04-14-2020,21628,571
109,Georgia,04-14-2020,14578,525
110,Hawaii,04-14-2020,511,9
111,Idaho,04-14-2020,1464,33
112,Illinois,04-14-2020,23248,868
113,Indiana,04-14-2020,8527,387
114,Iowa,04-14-2020,1899,49
115,Kansas,04-14-2020,1441,77
116,Kentucky,04-14-2020,2048,106
117,Louisiana,04-14-2020,21518,1013
118,Maine,04-14-2020,735,20
119,Maryland,04-14-2020,9472,302
120,Massachusetts,04-14-2020,28164,844
121,Michigan,04-14-2020,27001,1768
122,Minnesota,04-14-2020,1695,79
123,Mississippi,04-14-2020,3087,111
124,Missouri,04-14-2020,4746,149
125,Montana,04-14-2020,399,7
126,Nebraska,04-14-2020,897,20
127,Nevada,04-14-2020,3134,126
128,New Hampshire,04-14-2020,922,25
129,New Jersey,04-14-2020,68824,2805
130,New Mexico,04-14-2020,1345,31
131,New York,04-14-2020,203020,10842
132,North Carolina,04-14-2020,5113,112
133,North Dakota,04-14-2020,341,8
134,Ohio,04-14-2020,7285,324
135,Oklahoma,04-14-2020,2184,108
136,Oregon,04-14-2020,1633,55
137,Pennsylvania,04-14-2020,25465,691
138,Rhode Island,04-14-2020,3251,80
